nom,ancien_id,nouvel_id,statut
"Leandro Paredes","179538","","introuvable"
"Leandro Trossard","311960","","introuvable"
"Lebo Mothiba","368097","","introuvable"
"Lee Jae-sung","553093","","introuvable"
"Lee Kang-in","820707","","introuvable"
"Lee Ki-je","1008032","","introuvable"
"Leo Östigård","717592","","introuvable"
"Leon Goretzka","316235","","introuvable"
"Leroy Sané","232460","","introuvable"
"Liberato Cacace","795462","","introuvable"
"Lima","193467","","introuvable"
"Lionel Messi","41236","","introuvable"
"Lisandro Martínez","677560","","introuvable"
"Loïs Openda","826095","","introuvable"
"Lucas Cavallini","353124","","introuvable"
"Lucas Hernandez","285440","","introuvable"
"Lucas Paquetá","510039","","introuvable"
"Lucas Torreira","285069","","introuvable"
"Luis Díaz","694885","","introuvable"
"Luis Malagón","753020","","introuvable"
"Luis Suárez","23384","","introuvable"
"Luka Modrić","45208","","introuvable"
"Luka Sučić","896274","","introuvable"
"Lukáš Provod","573434","","introuvable"
"Łukasz Skorupski","94296","","introuvable"
"Luke Shaw","195735","","introuvable"
"Mahmoud Trezeguet","285752","","introuvable"
"Majid Hosseini","475416","","introuvable"
"Manuel Akanji","504495","","introuvable"
"Manuel Ugarte","946716","","introuvable"
"Marc Guehi","758677","","introuvable"
"Marc-André ter Stegen","74842","","introuvable"
"Marcel Sabitzer","246669","","introuvable"
"Marcelo Brozović","164848","","introuvable"
"Marcos Acuña","225078","","introuvable"
"Marcus Rashford","258923","","introuvable"
"Marcus Thuram","520878","","introuvable"
"Mark Flekken","184907","","introuvable"
"Marko Arnautović","93285","","introuvable"
"Marquinhos","234646","","introuvable"
"Martin Boyle","323792","","introuvable"
"Martín Cáceres","53984","","introuvable"
"Martin Ødegaard","312865","","introuvable"
"Mat Ryan","197044","","introuvable"
"Mateo Kovačić","182269","","introuvable"
"Matheus Nunes","796319","","introuvable"
"Matheus Uribe","324700","","introuvable"
"Mathew Leckie","195060","","introuvable"
"Mathías Olivera","789609","","introuvable"
"Mathías Villasanti","565312","","introuvable"
"Matt Turner","528638","","introuvable"
